200001740,1,200004227,3
200001740,1,200005041,3
200004227,3,200001740,1
200005041,3,200001740,1
200005815,1,200006238,2
200005815,1,200006238,3
200005815,1,202204855,1
200006238,2,200005815,1
200006238,3,200005815,1
200006238,4,200101710,1
200010428,1,202126987,1
200014735,1,200015799,1
200014735,1,200015799,2
200014735,1,201179611,2
200014735,1,201179802,2
200015296,3,200017275,7
200015799,1,200014735,1
200015799,2,200014735,1
200016373,1,200017275,8
200017275,7,200015296,3
200017275,8,200016373,1
200021058,5,201496398,1
200021058,6,201496398,1
200024642,2,200024807,4
200024807,4,200024642,2
200025027,1,200036355,1
200031813,1,200803798,1
200031813,1,200803798,2
200031813,1,200853615,5
200033948,1,200744118,1
200036355,1,200025027,1
200043880,2,200046251,1
200045077,1,200046251,1
200045739,1,200067316,1
200046251,1,200043880,2
200046251,1,200045077,1
200067316,1,200045739,1
200101710,1,200006238,4
200101710,1,202204855,3
200102728,2,201831687,1
200102728,5,201831687,2
200135665,1,200430013,8
200135665,1,202545454,3
200138328,2,201513031,2
200138328,2,201513208,3
200145958,2,200206006,1
200145958,2,201812593,1
200147635,0,200204753,0
200147635,0,200334996,0
200147635,0,200398311,0
200147635,0,201116231,0
200147635,0,202001894,0
200147635,0,202535669,0
200147635,0,202543308,0
200149403,3,200249545,5
200149403,3,200249545,6
200149403,3,201111038,2
200149403,3,201113439,6
200156293,3,200422361,1
200173351,2,200642914,3
200181704,1,200181809,2
200181704,2,200181809,2
200181809,2,200181704,1
200181809,2,200181704,2
200204753,0,200147635,0
200206006,1,200145958,2
200209582,2,200334996,1
200214220,3,201496398,1
200217578,1,200753137,3
200224594,1,200359085,1
200231172,1,202546044,1
200235426,1,200509113,1
200235426,2,200509113,1
200236768,2,202687605,1
200237442,4,200474253,1
200242912,2,200359085,1
200247103,1,201142049,2
200249545,5,200149403,3
200249545,6,200149403,3
200263589,1,200766947,2
200278705,1,200622730,8
200278705,1,201466149,3
200293269,1,200780320,4
200299337,1,201998320,2
200299677,1,200408773,1
200299677,1,200679602,3
200299677,1,200726112,4
200299677,1,200852919,3
200299677,1,201647199,5
200299677,1,202723706,3
200305890,1,200438402,4
200306198,1,200393662,2
200311895,3,202521921,4
200315073,1,202682306,1
200320015,1,202157817,1
200329612,1,200437357,2
200334996,0,200147635,0
200334996,1,200209582,2
200340274,1,200346162,2
200340274,1,200427702,1
200346162,2,200340274,1
200359085,1,200224594,1
200359085,1,200242912,2
200359085,1,200428636,1
200359085,1,200428636,2
200393662,2,200306198,1
200393662,2,202689494,1
200395719,3,200622051,2
200398311,0,200147635,0
200408773,1,200299677,1
200417630,1,202678329,5
200417630,1,202678329,6
200417630,1,202678329,7
200422361,1,200156293,3
200427702,1,200340274,1
200428636,1,200359085,1
200428636,2,200359085,1
200430013,3,200474253,1
200430013,8,200135665,1
200433525,1,202059191,2
200436641,1,201525056,3
200436641,2,201525056,2
200437357,2,200329612,1
200438402,4,200305890,1
200439133,2,202059573,2
200439133,2,202062918,5
200453467,1,201197471,4
200453467,1,201699462,2
200460731,3,202687605,3
200462448,1,202152539,4
200473602,1,200474253,1
200474253,1,200237442,4
200474253,1,200430013,3
200474253,1,200473602,1
200482872,3,200487639,2
200486949,6,201496398,1
200487639,2,200482872,3
200496744,3,202687605,1
200509113,1,200235426,1
200509113,1,200235426,2
200520136,1,201766953,1
200600349,5,201384737,1
200600349,6,200723361,2
200607866,3,201519166,3
200609334,7,200612810,2
200612810,2,200609334,7
200618188,2,202054081,1
200618188,4,201970868,2
200619438,3,200619747,2
200619747,2,200619438,3
200619747,2,201874268,2
200622051,2,200395719,3
200622730,8,200278705,1
200623325,1,200624056,5
200624056,5,200623325,1
200624056,5,200636568,4
200624823,2,202666897,2
200630153,1,200631551,1
200630153,1,200632042,2
200630153,1,201637684,1
200631551,1,200630153,1
200632042,2,200630153,1
200636568,3,200638921,7
200636568,4,200624056,5
200638921,6,200714537,9
200638921,7,200636568,3
200642490,1,202651091,3
200642914,3,200173351,2
200645135,3,201372423,1
200663742,3,202134989,1
200672097,1,201545905,1
200673936,1,200674352,1
200674352,1,200673936,1
200674352,1,200675685,2
200675685,2,200674352,1
200679122,1,201384737,3
200679364,1,201263582,4
200679364,2,201263582,1
200679463,1,201462658,2
200679463,2,201384737,1
200679602,3,200299677,1
200698180,2,202134989,1
200706015,2,202646310,1
200708633,3,201694711,1
200713544,3,201589199,1
200714537,9,200638921,6
200717446,2,201342965,1
200717446,3,201360534,1
200717773,1,202635471,2
200723361,2,200600349,6
200726112,4,200299677,1
200744118,1,200033948,1
200744289,2,202235554,1
200744289,5,201496967,1
200746558,1,201442758,1
200753137,3,200217578,1
200754499,1,201472399,2
200754499,1,202389828,2
200754499,1,202389828,3
200754499,1,202492311,1
200761314,1,200895742,2
200766947,2,200263589,1
200770675,1,201291758,1
200780320,4,200293269,1
200781405,1,200781646,1
200781646,1,200781405,1
200782236,1,202186788,1
200782236,6,202000606,1
200783045,2,201839438,2
200794133,1,201100371,1
200794133,1,201633150,11
200794133,1,201650408,3
200803798,1,200031813,1
200803798,2,200031813,1
200806138,2,201452389,1
200813382,1,202687605,1
200827309,1,200954556,1
200848023,2,201576346,1
200852919,3,200299677,1
200853615,5,200031813,1
200853615,6,200855315,2
200855315,2,200853615,6
200878614,3,202134989,1
200886335,1,200891468,1
200891468,1,200886335,1
200895742,2,200761314,1
200899077,2,201911251,1
200911087,1,202066560,2
200914001,3,200915018,3
200915018,3,200914001,3
200915018,4,200977616,1
200918076,1,200944022,2
200920551,1,201141530,1
200944022,2,200918076,1
