dyad_markdown	cameo_label	date	mean_goldstein	n
Abd al-Rab Mansur al-Hadi->United Nations	express intent to mediate	2015-01-21	5	1
Abdelaziz Bouteflika->France	rally support on behalf of	2015-01-07	3.8	2
Abdelaziz Bouteflika->France	rally support on behalf of	2015-01-08	3.8	1
Abdelkader Taleb Oumar->France	appeal for policy change	2014-02-28	-0.3	1
Abdulla Yameen->Malaysia	reduce or break diplomatic relations	2014-12-06	-4	2
Abdulla Yameen->Malaysia	reduce or break diplomatic relations	2014-12-07	-4	4
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-20	4	2
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-21	4	1
Abdullah Abdullah->United Nations	appeal to engage in or accept mediation	2014-06-23	4	1
Abdullah Abdullah->United Nations	express intent to accept mediation	2014-06-21	7	3
Abdullah Abdullah->United Nations	express intent to accept mediation	2014-06-22	7	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-09-29	-9	2
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-12	-9	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-16	-9	1
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-17	-9	3
Abu Sayyaf->Citizen (Germany)	abduct, hijack, or take hostage	2014-10-23	-9	1
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-17	7	3
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-18	7	3
Abu Sayyaf->Citizen (Germany)	return, release person(s)	2014-10-30	7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-09-25	-7	2
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-09-30	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-01	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-12	-7	1
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-16	-7	2
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-17	-7	4
Abu Sayyaf->Citizen (Germany)	threaten with military force	2014-10-18	-7	1
Activist (France)->gov (France)	demonstrate for policy change	2014-02-22	-6.5	1
Activist (Germany)->Angela Merkel	complain officially	2014-02-03	-2	1
Activist (Morocco)->Citizen (France)	bring lawsuit against	2014-02-25	-2	2
Activist (Morocco)->Citizen (France)	bring lawsuit against	2014-02-27	-2	1
Activist (Morocco)->Citizen (France)	bring lawsuit against	2015-01-15	-2	1
Activist (Morocco)->Citizen (France)	bring lawsuit against	2015-01-17	-2	1
Activist (Russia)->Ramazan Abdulatipov	demonstrate for leadership change	2014-11-08	-6.5	1
Activist (Russia)->Russia	demand diplomatic cooperation (such as policy support)	2014-04-07	-5	3
Activist (Russia)->Russia	demand diplomatic cooperation (such as policy support)	2014-04-08	-5	2
Activist (Russia)->Russia	demand diplomatic cooperation (such as policy support)	2014-04-09	-5	2
Activist (Russia)->Ukraine	impose blockade, restrict movement	2014-03-18	-9.5	1
Activist (Russia)->Ukraine	impose blockade, restrict movement	2014-04-13	-9.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-02-07	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-02-14	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-04	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-16	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-18	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-21	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-24	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-25	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-28	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-03-29	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-04-08	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-04-17	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-05-31	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-06-11	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-06-29	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-06-30	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-02	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-18	-6.5	4
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-19	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-24	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-27	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-07-31	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-08-26	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-06	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-18	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-20	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-24	-6.5	3
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-25	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-09-26	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-08	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-12	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-14	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-19	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-20	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-10-31	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-11-06	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-11-07	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-11-13	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-11-18	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-12-26	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-12-27	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2013-12-31	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-15	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-17	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-23	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-25	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-26	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-02-27	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-05	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-08	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-09	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-15	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-17	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-03-21	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-05	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-06	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-07	-6.5	3
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-08	-6.5	3
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-09	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-11	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-13	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-16	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-04-29	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-05-07	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-05-08	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-05-15	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-05-21	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-05-30	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-10-04	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-11-10	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2014-12-23	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-01-17	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-02-03	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-04-19	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-05-15	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-05-18	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-06-12	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-08-04	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-09-16	-6.5	1
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-09-20	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-12-12	-6.5	2
Activist (Russia)->Unspecified Actor	demonstrate or rally	2015-12-21	-6.5	1
Activist (Russia)->Vladimir Putin	appeal for military protection or peacekeeping	2014-04-07	3.4	1
Activist (Ukraine)->Arsen Avakov	appeal for change in leadership	2014-03-28	-0.3	1
Activist (Ukraine)->Arsen Avakov	demonstrate for leadership change	2014-03-28	-6.5	1
Activist (Ukraine)->Arsen Avakov	demonstrate for leadership change	2015-07-11	-6.5	1
Activist (Ukraine)->Arsen Avakov	demonstrate for leadership change	2015-07-14	-6.5	1
Activist (Ukraine)->Military (Ukraine)	ease military blockade	2014-08-28	9	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2013-12-03	-7.5	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2014-01-27	-7.5	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2014-02-20	-7.5	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2014-04-07	-7.5	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2014-04-19	-7.5	1
Activist (Ukraine)->Ukraine	obstruct passage, block	2014-07-09	-7.5	2
Activist (Ukraine)->Ukraine	return, release property	2014-04-26	7	3
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-02-18	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-03-09	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-04-04	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-04-15	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-05-14	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-06-09	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-07-13	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-07-22	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-08-05	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-09-27	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-10-01	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-10-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-11-05	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-11-16	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-11-27	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-11-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-11-30	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-12-04	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-12-05	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-12-08	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2013-12-10	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-01-11	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-01-12	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-01-24	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-05	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-16	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-17	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-18	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-22	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-24	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-25	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-02-26	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-03-26	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-03-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-04	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-06	-6.5	3
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-07	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-09	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-12	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-16	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-04-18	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-05-01	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-05-02	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-05-04	-6.5	3
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-05-25	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-06-17	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-06-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-06-29	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-08-03	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-08-14	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-08-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-09-27	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-12-24	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2014-12-29	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-01-30	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-02-04	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-03-31	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-04-07	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-05-19	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-06-01	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-03	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-06	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-12	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-13	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-20	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-07-28	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-08-15	-6.5	2
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-08-16	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-08-31	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-11-03	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-11-23	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-11-26	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-12-13	-6.5	1
Activist (Ukraine)->Unspecified Actor	demonstrate or rally	2015-12-25	-6.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2013-12-01	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2013-12-08	-7.5	2
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-01-23	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-02-15	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-02-18	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-02-22	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-03-09	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-04-07	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-04-13	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-05-22	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2014-06-13	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2015-09-20	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2015-09-21	-7.5	1
Activist (Ukraine)->Unspecified Actor	obstruct passage, block	2015-10-13	-7.5	1
Activist (Ukraine)->Viktor Yanukovych	demonstrate for leadership change	2014-02-22	-6.5	1
Actor (France)->Media (France)	demand that target yields	2014-03-07	-5	1
Africa->Military (France)	declare truce, ceasefire	2014-03-27	9	1
Africa->Military (France)	declare truce, ceasefire	2014-03-29	9	1
Africa->Military (France)	declare truce, ceasefire	2014-04-01	9	1
African Union Mission to Somalia->United Nations	declare truce, ceasefire	2014-12-26	9	1
African Union Mission to Somalia->United Nations	declare truce, ceasefire	2014-12-27	9	2
African Union->European Union	threaten with political dissent, protest	2014-03-27	-5.8	1
Agence France-Presse->Media (Australia)	apologize	2014-08-22	7	1
Agriculture / Fishing / Forestry Ministry (Russia)->Russia	appeal for economic aid	2014-10-09	3.4	1
Ahmet Davutoglu->United Nations	appeal for humanitarian aid	2014-02-03	3.4	2
Airline (Malaysia)->Citizen (Australia)	sexually assault	2014-08-14	-9	1
Airline (Malaysia)->Citizen (France)	sexually assault	2014-08-14	-9	1
Airline (Malaysia)->Citizen (Malaysia)	yield	2015-01-29	5	5
Airline (Malaysia)->Citizen (Malaysia)	yield	2015-01-30	5	1
Airline (Malaysia)->Ukraine	employ aerial weapons	2014-07-24	-10	1
Airline (Malaysia)->Ukraine	employ aerial weapons	2014-07-25	-10	2
Airline (Malaysia)->Ukraine	employ aerial weapons	2014-07-30	-10	1
Airline (Malaysia)->Ukraine	threaten non-force	2014-09-21	-5.8	1
Al Qaeda in the Arabian Peninsula->Citizen (France)	acknowledge or claim responsibility	2015-01-14	0	5
Al Qaeda in the Arabian Peninsula->Citizen (France)	acknowledge or claim responsibility	2015-01-15	0	1
Al Qaeda in the Arabian Peninsula->Citizen (France)	acknowledge or claim responsibility	2015-01-23	0	1
Al Qaeda in the Arabian Peninsula->France	acknowledge or claim responsibility	2015-01-14	0	6
Al Qaeda in the Arabian Peninsula->France	acknowledge or claim responsibility	2015-01-15	0	1
Al Qaeda in the Arabian Peninsula->France	acknowledge or claim responsibility	2015-01-23	0	3
Al Qaeda in the Arabian Peninsula->France	acknowledge or claim responsibility	2015-01-26	0	1
Al Qaeda in the Arabian Peninsula->France	acknowledge or claim responsibility	2015-01-27	0	1
Al Qaeda->Citizen (France)	acknowledge or claim responsibility	2015-01-20	0	1
Al Qaeda->Citizen (France)	acknowledge or claim responsibility	2015-01-26	0	1
Al Qaeda->Citizen (France)	kill by physical assault	2013-03-19	-10	1
Al Qaeda->Citizen (France)	kill by physical assault	2013-03-20	-10	3
Al Qaeda->Citizen (France)	kill by physical assault	2014-09-25	-10	1
Al Qaeda->Citizen (Yemen)	acknowledge or claim responsibility	2015-01-14	0	3
Al Qaeda->France	acknowledge or claim responsibility	2015-01-15	0	2
Al Qaeda->France	acknowledge or claim responsibility	2015-05-08	0	1
Al Qaeda->France	acknowledge or claim responsibility	2015-11-21	0	3
Al Qaeda->Media (France)	acknowledge or claim responsibility	2015-01-14	0	1
Al Qaeda->Media (France)	acknowledge or claim responsibility	2015-01-15	0	1
Al Qaeda->Media (France)	acknowledge or claim responsibility	2015-01-17	0	1
Al Qaeda->Media (France)	acknowledge or claim responsibility	2015-01-29	0	1
Al Qaeda->Newspaper (France)	acknowledge or claim responsibility	2015-01-14	0	8
Al Qaeda->Russia	demand change in institutions, regime	2014-02-06	-5	1
Al Qaeda->Russia	demand change in institutions, regime	2014-02-07	-5	1
Al Wefaq National Islamic Society->Office of the United Nations High Commissioner for Human Rights	appeal for rights	2014-02-20	-0.3	1
Aleksandar Vučić->Organization for Security and Cooperation in Europe	demand diplomatic cooperation (such as policy support)	2014-06-02	-5	1
Aleksandar Vučić->Organization for Security and Cooperation in Europe	demand diplomatic cooperation (such as policy support)	2014-06-04	-5	1
Alexander Lukashenko->Police (Russia)	engage in material cooperation	2014-05-08	6	1
Alexander Lukashenko->Police (Russia)	engage in material cooperation	2014-05-09	6	1
Alexander Lukashenko->Russia	appeal for rights	2014-09-29	-0.3	1
Alexander Lukashenko->Ukraine	engage in judicial cooperation	2014-02-23	7.4	1
Alexander Lukashenko->Vladimir Putin	engage in symbolic act	2013-05-05	0	1
Alexander Lukashenko->Vladimir Putin	engage in symbolic act	2014-10-07	0	3
Alexei Meshkov->European Union	appeal for easing of economic sanctions, boycott, or embargo	2014-11-29	-0.3	1
Alexei Meshkov->European Union	appeal for easing of economic sanctions, boycott, or embargo	2015-03-05	-0.3	1
Algeria->France	engage in diplomatic cooperation	2013-03-04	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-06-03	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-06-17	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-06-30	3.5	2
Algeria->France	engage in diplomatic cooperation	2013-07-01	3.5	2
Algeria->France	engage in diplomatic cooperation	2013-10-29	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-11-28	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-12-04	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-12-09	3.5	1
Algeria->France	engage in diplomatic cooperation	2013-12-18	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-01-30	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-04-27	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-06-09	3.5	2
Algeria->France	engage in diplomatic cooperation	2014-08-17	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-10-12	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-10-17	3.5	2
Algeria->France	engage in diplomatic cooperation	2014-10-28	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-11-05	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-11-11	3.5	6
Algeria->France	engage in diplomatic cooperation	2014-11-27	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-12-02	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-12-03	3.5	1
Algeria->France	engage in diplomatic cooperation	2014-12-04	3.5	3
Algeria->France	engage in diplomatic cooperation	2014-12-05	3.5	3
Algeria->France	engage in diplomatic cooperation	2014-12-07	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-01-28	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-01-30	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-05-13	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-06-03	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-06-14	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-09-07	3.5	3
Algeria->France	engage in diplomatic cooperation	2015-09-09	3.5	2
Algeria->France	engage in diplomatic cooperation	2015-10-02	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-10-25	3.5	2
Algeria->France	engage in diplomatic cooperation	2015-10-27	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-10-30	3.5	2
Algeria->France	engage in diplomatic cooperation	2015-11-05	3.5	1
Algeria->France	engage in diplomatic cooperation	2015-11-10	3.5	3
Algeria->France	engage in diplomatic cooperation	2015-12-22	3.5	1
Algeria->France	engage in diplomatic cooperation	2016-01-28	3.5	2
Algirdas Butkevičius->Russia	decline comment	2014-11-27	-0.1	1
Amnesty International->Combatant (Ukraine)	accuse of war crimes	2014-09-06	-2	2
Anders Breivik->Foreign Affairs (France)	threaten to reduce or break relations	2014-09-17	-5.8	1
Anders Fogh Rasmussen->Russia	appeal for de-escalation of military engagement	2014-04-08	-0.3	1
Anders Fogh Rasmussen->Russia	appeal for de-escalation of military engagement	2014-04-12	-0.3	1
Anders Fogh Rasmussen->Russia	appeal for de-escalation of military engagement	2014-04-16	-0.3	1
Anders Fogh Rasmussen->Russia	appeal for de-escalation of military engagement	2014-08-07	-0.3	1
Anders Fogh Rasmussen->Russia	appeal for de-escalation of military engagement	2014-09-04	-0.3	2
Anders Fogh Rasmussen->Russia	demand de-escalation of military engagement	2014-04-10	-5	1
Anders Fogh Rasmussen->Russia	demand de-escalation of military engagement	2014-04-11	-5	1
Andrej Kiska->Russia	refuse to ease economic sanctions, boycott, or embargo	2014-08-15	-4	1
Angela Merkel->Barack Obama	appeal for easing of administrative sanctions	2014-03-26	-0.3	1
Angela Merkel->Christian Democratic Union	appeal to others to meet or negotiate	2014-02-10	4	1
Angela Merkel->Citizen (Turkey)	express intent to provide material aid	2014-02-04	5.2	1
Angela Merkel->Citizen (Turkey)	express intent to provide material aid	2014-02-05	5.2	3
Angela Merkel->European Union	demand diplomatic cooperation (such as policy support)	2014-02-19	-5	1
Angela Merkel->European Union	demand diplomatic cooperation (such as policy support)	2014-06-02	-5	1
Angela Merkel->European Union	demand diplomatic cooperation (such as policy support)	2014-06-03	-5	1
Angela Merkel->European Union	demand diplomatic cooperation (such as policy support)	2014-06-04	-5	1
Angela Merkel->France	appeal for political reform	2014-12-11	-0.3	1
Angela Merkel->Greece	reject request for economic aid	2015-01-31	-4	2
Angela Merkel->Greece	reject request for economic aid	2015-07-19	-4	1
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-02-24	3.4	1
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-03-07	3.4	1
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-05-28	3.4	1
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-05-30	3.4	1
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-05-31	3.4	3
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-06-02	3.4	3
Angela Merkel->Jean-Claude Juncker	praise or endorse	2014-06-04	3.4	2
