300014377,2,ip
300019769,2,p
300020141,1,a
300020447,4,p
300022474,1,a
300024701,1,p
300024701,2,p
300025245,1,p
300027946,1,a
300028584,1,a
300032471,1,p
300032471,2,p
300033472,1,p
300036276,1,a
300051593,1,p
300051593,3,p
300051593,4,p
300052252,2,p
300052252,3,p
300052486,3,p
300067988,1,p
300067988,2,p
300068247,1,p
300071750,1,p
300073044,1,p
300076345,2,a
300077529,1,p
300077667,1,p
300078057,1,p
300078253,1,p
300079053,1,p
300079053,2,p
300079166,1,p
300082141,1,p
300095301,1,p
300096726,1,p
300096726,2,p
300096726,3,p
300098527,1,a
300100425,1,a
300100933,2,p
300101225,1,p
300105332,2,a
300105624,2,a
300107633,1,a
300107940,1,a
300108679,2,a
300108956,2,a
300112415,1,a
300115905,1,p
300117274,1,p
300122938,2,a
300124357,1,a
300126583,1,a
300127107,1,a
300128009,1,a
300128168,1,a
300128705,1,a
300132764,1,a
300132764,2,a
300132764,3,a
300154164,1,a
300155165,1,p
300163926,2,p
300163926,3,p
300167028,3,a
300171217,1,a
300171417,1,a
300173433,1,p
300174652,1,p
300174652,5,p
300174652,6,p
300174652,7,p
300174652,8,p
300183204,1,a
300185843,1,p
300186092,1,a
300186320,1,p
300186460,1,p
300186663,1,p
300187059,1,a
300187511,1,p
300187978,1,p
300188104,1,p
300188413,1,p
300188413,2,p
300189224,1,p
300189546,1,a
300189643,2,a
300189924,2,a
300190226,1,p
300190226,2,p
300191603,1,p
300192141,2,p
300192141,3,p
300192448,1,p
300193532,1,p
300193532,2,p
300193933,1,p
300195400,4,a
300199168,1,a
300199483,1,a
300199483,2,a
300199739,1,a
300199975,1,a
300199975,2,a
300199975,3,p
300204003,1,a
300204269,1,ip
300204715,1,a
300205087,1,ip
300205087,2,ip
300218889,1,a
300219020,1,a
300219020,2,a
300230077,1,a
300230077,2,a
300231800,2,a
300233977,1,a
300256174,1,ip
300266631,1,a
300271362,1,p
300272935,1,a
300276352,2,a
300280198,1,p
300280484,1,p
300281941,1,p
300284446,1,a
300285682,1,a
300286771,3,a
300291459,3,a
300294114,1,p
300294748,1,p
300298621,2,a
300298621,3,a
300298763,2,a
300305254,2,a
300305469,1,a
300308592,1,p
300309286,2,p
300311842,1,a
300311985,1,p
