200001740,0,2
200001740,0,8
200002325,0,2
200002573,0,2
200002724,0,2
200002942,0,2
200003133,0,9
200003316,0,8
200003443,0,2
200003662,0,8
200003662,0,11
200003826,0,2
200004032,0,2
200004227,0,2
200004227,0,8
200004492,0,8
200004605,0,8
200004605,0,11
200004819,0,2
200005041,0,2
200005041,0,8
200005526,0,2
200005815,0,2
200005815,0,8
200006100,0,2
200006238,0,2
200006523,0,2
200006697,0,2
200006802,0,2
200007012,0,2
200007193,0,8
200007328,0,2
200007549,0,2
200007739,0,2
200008055,0,2
200008195,0,8
200008299,0,22
200008435,0,8
200008595,0,2
200008792,0,2
200008970,0,2
200009140,0,1
200009485,0,1
200009624,0,2
200009624,0,23
200009877,0,1
200010047,0,2
200010047,0,23
200010234,0,2
200010428,0,2
200010428,0,7
200011354,0,2
200011544,0,2
200011691,0,2
200011845,0,2
200011975,0,2
200012130,0,2
200012260,0,9
200012427,0,2
200012606,0,2
200012746,0,2
200012847,0,2
200012937,0,2
200013165,0,2
200013321,0,8
200013608,0,9
200013851,0,2
200014027,0,1
200014027,0,2
200014194,0,1
200014194,0,2
200014398,0,2
200014542,0,2
200014735,0,2
200015156,0,2
200015296,0,2
200015491,0,2
200015706,0,2
200015799,0,2
200015939,0,1
200016176,0,1
200016373,0,2
200016566,0,1
200016566,0,2
200016695,0,1
200016695,0,2
200016848,0,2
200017024,0,2
200017275,0,2
200017524,0,2
200017524,0,22
200017667,0,2
200017667,0,22
200017858,0,2
200018151,0,2
200018398,0,9
200018398,0,10
200018519,0,2
200018806,0,9
200018806,0,10
200019175,0,9
200019175,0,10
200019266,0,9
200019266,0,10
200019441,0,8
200019441,0,9
200019441,0,10
200019441,0,11
200019785,0,11
200019975,0,11
200020126,0,2
200020252,0,2
200020442,0,9
200020442,0,10
200020664,0,9
200020664,0,10
200020919,0,9
200020919,0,10
200021058,0,8
200021058,0,9
200021058,0,10
200021547,0,9
200021547,0,10
200021672,0,9
200021672,0,10
200021819,0,9
200021990,0,9
200022092,0,9
200022092,0,10
200022309,0,9
200022679,0,2
200022679,0,8
200022679,0,9
200022679,0,10
200022679,0,11
200023237,0,10
200023373,0,10
200023466,0,2
200023639,0,2
200023861,0,2
200024040,0,2
200024272,0,9
200024272,0,10
200024642,0,9
200024642,0,10
200024807,0,1
200024807,0,2
200025027,0,2
200025196,0,8
200025196,0,10
200025503,0,8
200025647,0,8
200025647,0,9
200025647,0,10
200025978,0,8
200026146,0,1
